platform,developer,releasedate,metascore
PS,Codemasters,23-Oct-00,44
PS,Disney Interactive,29-Aug-00,44
PS,n-Space,6-Sep-00,43
PS,Acclaim,18-Aug-00,43
N64,Gratuitous Games,16-Oct-00,43
PS,Acclaim,14-Jul-00,43
PS,Climax Group,23-Aug-00,42
PS,K2 LLC,21-Aug-00,41
N64,Europress,30-Jun-00,41
PC,Timeline Computer Entertainment,12-Nov-00,41
DC,Darkblack,9-Nov-00,40
PC,Red Storm Entertainment,14-Dec-00,40
PS,Darkblack,12-Sep-00,40
PC,Boris Games,29-Dec-00,39
PS,Capcom,30-Aug-00,39
PC,Cyberscape Graphics,24-Oct-00,38
DC,Acclaim Studios Salt Lake City,30-Dec-00,38
PS,n-Space,19-Sep-00,37
PS,3DO,9-Sep-00,35
PS,3DO,20-Sep-00,35
PS,Revolution Software,19-Dec-00,34
N64,Player 1,16-Nov-00,32
PS,Paradox Development,22-Dec-00,30
DC,Konami,20-Nov-00,29
PS,Midway,30-Jun-00,28
PS,SingleTrac,6-Sep-00,27
PS,Osiris Studios,20-Nov-00,26
N64,Mass Media,28-Sep-00,25
N64,Kemco,13-Dec-00,24
PS2,Neversoft Entertainment,28-Oct-01,97
PS2,DMA Design,22-Oct-01,97
XBOX,Bungie Software,14-Nov-01,97
PS2,KCEJ,12-Nov-01,96
PS2,Polyphony Digital,9-Jul-01,95
GBA,Vicarious Visions,30-May-01,95
PS2,Capcom,16-Oct-01,94
PS2,EA Sports,19-Aug-01,94
GBA,Intelligent Systems,26-Aug-01,93
N64,Intelligent Systems,5-Feb-01,93
DC,Visual Concepts,24-Oct-01,93
PS2,EA Canada,5-Nov-01,92
PS2,EA Sports,24-Sep-01,92
GBA,Intelligent Systems,9-Sep-01,92
GC,HAL Labs,2-Dec-01,92
PS2,SquareSoft,17-Dec-01,92
N64,Rare Ltd.,4-Mar-01,92
PS2,Namco,25-Jul-01,91
PC,"1C, 1C Company",18-Nov-01,91
PS2,Incognito Inc.,18-Jun-01,91
GC,Neversoft Entertainment,13-Nov-01,91
GBA,Camelot Software Planning,11-Nov-01,91
GBA,KCEK,10-Jun-01,91
PS2,SCE Japan Studio,24-Sep-01,90
DC,Hitmaker,24-Oct-01,90
PC,Lionhead Studios,26-Mar-01,90
PS,Konami,9-May-01,90
PS2,Naughty Dog,3-Dec-01,90
GC,Factor 5,9-Nov-01,90
PS2,EA Sports,23-Jul-01,90
DC,Secret Level,13-Mar-01,90
PC,Firaxis Games,30-Oct-01,90
DC,Visual Concepts,19-Sep-01,90
XBOX,EA Sports,29-Oct-01,90
PC,Microsoft Game Studios,19-Oct-01,90
PS2,Ubisoft,30-Jan-01,90
GC,Nintendo,2-Dec-01,89
GC,EA Sports,17-Nov-01,89
PS,TOSE,29-Jun-01,89
DC,Sonic Team,29-Jan-01,89
XBOX,EA Sports,10-Dec-01,89
PS2,Namco,1-Nov-01,89
PC,Remedy Entertainment,23-Jul-01,89
